tmdb_id,title,year,status,rt_url,rt_title,imdb_id,critics_score,critics_sentiment,audience_score,audience_sentiment,mpaa_rating
9423,Virus,1999,ok,https://www.rottentomatoes.com/m/1085867-virus,Virus,,14,NEGATIVE,22,NEGATIVE,R
9424,Disturbing Behavior,1998,ok,https://www.rottentomatoes.com/m/disturbing_behavior,Disturbing Behavior,,36,NEGATIVE,40,NEGATIVE,R
9425,Soldier,1998,ok,https://www.rottentomatoes.com/m/1083934-soldier,Soldier,,19,NEGATIVE,45,NEGATIVE,
9426,The Fly,1986,ok,https://www.rottentomatoes.com/m/1007602-fly,The Fly,,93,POSITIVE,83,POSITIVE,R
9427,The Full Monty,1997,ok,https://www.rottentomatoes.com/m/full_monty,The Full Monty,,96,POSITIVE,79,POSITIVE,R
9428,The Royal Tenenbaums,2001,ok,https://www.rottentomatoes.com/m/the_royal_tenenbaums,The Royal Tenenbaums,,81,POSITIVE,89,POSITIVE,R
9429,A Night at the Roxbury,1998,ok,https://www.rottentomatoes.com/m/night_at_the_roxbury,A Night at the Roxbury,,11,NEGATIVE,69,POSITIVE,PG-13
9430,Go,1999,not_found,,,,,,,,
9431,Bordello of Blood,1996,ok,https://www.rottentomatoes.com/m/tales_from_the_crypt_presents_bordello_of_blood,Tales From the Crypt Presents Bordello of Blood,,14,NEGATIVE,31,NEGATIVE,R
9432,Der Campus,1998,not_found,,,,,,,,
9433,The Edge,1997,ok,https://www.rottentomatoes.com/m/edge,The Edge,,63,POSITIVE,70,POSITIVE,R
9434,Grosse Pointe Blank,1997,ok,https://www.rottentomatoes.com/m/grosse_pointe_blank,Grosse Pointe Blank,,82,POSITIVE,86,POSITIVE,R
9437,Kiss the Girls,1997,ok,https://www.rottentomatoes.com/m/kiss_the_girls,Kiss the Girls,,35,NEGATIVE,62,POSITIVE,R
9438,Mr. Magoo,1997,ok,https://www.rottentomatoes.com/m/mr_magoo,Mr. Magoo,,9,NEGATIVE,24,NEGATIVE,PG
9439,The Nameless,1999,ok,https://www.rottentomatoes.com/m/the_nameless,The Nameless,,20,NEGATIVE,41,NEGATIVE,
9440,Primary Colors,1998,ok,https://www.rottentomatoes.com/m/primary_colors,Primary Colors,,80,POSITIVE,64,POSITIVE,R
9441,Stepmom,1998,ok,https://www.rottentomatoes.com/m/stepmom,Stepmom,,45,NEGATIVE,75,POSITIVE,PG-13
9442,Dead Men Don't Wear Plaid,1982,ok,https://www.rottentomatoes.com/m/dead_men_dont_wear_plaid,Dead Men Don't Wear Plaid,,71,POSITIVE,72,POSITIVE,PG
9443,Chariots of Fire,1981,ok,https://www.rottentomatoes.com/m/chariots_of_fire,Chariots of Fire,,84,POSITIVE,80,POSITIVE,PG
9444,Anastasia,1997,ok,https://www.rottentomatoes.com/m/1079818-anastasia,Anastasia,,83,POSITIVE,77,POSITIVE,G
9445,Apt Pupil,1998,ok,https://www.rottentomatoes.com/m/apt_pupil,Apt Pupil,,54,NEGATIVE,56,NEGATIVE,R
9446,Jungle 2 Jungle,1997,ok,https://www.rottentomatoes.com/m/jungle_2_jungle,Jungle 2 Jungle,,20,NEGATIVE,33,NEGATIVE,PG
9447,Babe: Pig in the City,1998,ok,https://www.rottentomatoes.com/m/babe_pig_in_the_city,Babe: Pig in the City,,67,POSITIVE,41,NEGATIVE,G
9448,The Big Hit,1998,ok,https://www.rottentomatoes.com/m/big_hit,The Big Hit,,41,NEGATIVE,57,NEGATIVE,R
9449,The Borrowers,1997,ok,https://www.rottentomatoes.com/m/1081203-borrowers,The Borrowers,,73,POSITIVE,49,NEGATIVE,PG
9450,Brassed Off,1996,ok,https://www.rottentomatoes.com/m/brassed_off,Brassed Off,,79,POSITIVE,79,POSITIVE,R
9451,Election,1999,ok,https://www.rottentomatoes.com/m/election,Election,,92,POSITIVE,79,POSITIVE,R
